Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,El Salvador,SLV,59.4,32.4,23.6,22.6,21.6,20.8,20,19.3,18.6,18,17.4,16.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Equatorial Guinea,GNQ,189.5,152.1,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Eritrea,ERI,151.4,89.1,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Estonia,EST,20.2,11,6.7,6.1,5.5,5.1,4.6,4.2,3.8,3.5,3.2,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ethiopia,ETH,204.6,145.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Fiji,FJI,29.8,24.5,23.8,23.9,24,24,23.9,23.7,23.5,23.2,22.9,22.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Finland,FIN,6.7,4.3,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6,2.4,2.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,France,FRA,9,5.4,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Gabon,GAB,92.9,85.3,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Gambia, The",GMB,170.2,118.8,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Georgia,GEO,47.7,35.7,22.7,20.9,19.3,17.9,16.6,15.5,14.4,13.4,12.6,11.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Germany,DEU,8.5,5.4,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ghana,GHA,127.4,100.7,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64,61.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Greece,GRC,12.6,7.8,5.2,5,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Grenada,GRD,23.3,16,14,13.7,13.5,13.4,13.2,13,12.7,12.5,12.2,11.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guatemala,GTM,80.9,50.6,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guinea,GIN,238.2,170.2,131.2,125.9,121,116.3,111.9,107.7,104,100.4,97,93.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guinea-Bissau,GNB,229.3,177.5,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guyana,GUY,60.4,46.7,42.4,42.1,41.9,41.7,41.5,41.4,41.2,40.8,40.2,39.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Haiti,HTI,145.8,104.8,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Honduras,HND,58.2,37.4,28.8,27.6,26.5,25.4,24.4,23.5,22.6,21.8,21.1,20.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Hungary,HUN,19.1,11.2,7.9,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,5.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Iceland,ISL,6.4,4,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,India,IND,125.8,91.2,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Indonesia,IDN,84.7,52.3,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Iran, Islamic Rep.",IRN,57.5,34.7,24.2,22.8,21.4,20.2,19.2,18.3,17.5,16.8,16.1,15.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Iraq,IRQ,54.1,44.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ireland,IRL,9.2,7.1,4.9,4.6,4.5,4.3,4.2,4.1,4,3.8,3.7,3.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Israel,ISR,11.6,6.9,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Italy,ITA,9.7,5.5,4.3,4.2,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Jamaica,JAM,30.6,22,19.5,19.2,18.9,18.5,18.1,17.6,17.2,16.7,16.2,15.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Japan,JPN,6.3,4.5,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,2.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Jordan,JOR,36.6,27.7,23.4,22.7,22.1,21.5,20.8,20.2,19.6,19,18.5,17.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kazakhstan,KAZ,52.6,43.6,30.3,28.1,25.9,23.7,21.6,19.6,17.9,16.4,15.1,14.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kenya,KEN,102.3,107.9,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kiribati,KIR,96,70.6,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Korea, Dem. Rep.",PRK,43.4,60,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Korea, Rep.",KOR,7.1,6.1,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kuwait,KWT,17.9,12.7,11.6,11.5,11.3,11.1,10.8,10.3,9.9,9.4,9,8.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kyrgyz Republic,KGZ,65,48.7,37.9,36.3,34.4,32.3,30,27.8,25.7,24,22.6,21.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lao PDR,LAO,162.4,117.7,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Latvia,LVA,20.4,17.2,11.8,11.1,10.5,9.9,9.4,9,8.7,8.4,8.2,7.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lebanon,LBN,32.5,20,13,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lesotho,LSO,88.1,116.8,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92,90.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Liberia,LBR,255,181.8,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Libya,LBY,41.6,28.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lithuania,LTU,16.5,11.8,9.5,8.8,8.1,7.4,6.7,6.1,5.6,5.3,5.2,5.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Luxembourg,LUX,8.8,4.8,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Macedonia, FYR",MKD,36.6,16,13.2,12.5,11.8,11,9.9,8.6,7.4,6.6,6,5.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Madagascar,MDG,160.7,109.2,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malawi,MWI,242.4,174.4,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malaysia,MYS,16.6,10.2,8.1,8,8,8,8,7.9,7.7,7.5,7.2,7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Maldives,MDV,94.1,44.4,20.1,17.8,16,14.4,13,11.8,10.7,9.9,9.2,8.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mali,MLI,254.4,219.6,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7
