Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Russian Federation,RUS,26,23.2,15.5,14.4,13.5,12.7,12,11.4,10.8,10.4,9.9,9.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Rwanda,RWA,151.8,183.8,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Samoa,WSM,31,21.7,19.1,18.9,18.8,24.1,18.7,18.6,18.5,18.2,17.9,17.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,San Marino,SMR,10.9,5.5,4,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sao Tome and Principe,STP,110.7,89.3,66.7,63.6,61,58.5,56.4,54.4,52.4,50.8,49,47.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Saudi Arabia,SAU,44.3,22.9,19.2,18.7,18.1,17.6,17,16.5,16,15.5,15,14.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Senegal,SEN,140.4,134.9,88.8,82,75.8,70.1,64.8,60,55.9,52.5,49.7,47.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Serbia,SRB,28.4,12.6,8.4,8.1,8,7.8,7.6,7.3,7.1,6.9,6.8,6.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Seychelles,SYC,16.5,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14,13.8,13.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sierra Leone,SLE,264.3,235.8,196.2,188,179.1,169.9,160.2,150.6,141.6,133.4,126.4,120.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Singapore,SGP,7.7,4,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Slovak Republic,SVK,17.7,11.7,9.5,9.2,8.9,8.6,8.4,8.1,7.9,7.7,7.5,7.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Slovenia,SVN,10.4,5.5,4,3.8,3.6,3.5,3.3,3.1,3,2.8,2.7,2.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Solomon Islands,SLB,39.7,33.1,33.4,33.3,33.1,32.6,32.1,31.4,30.7,29.9,28.9,28.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Somalia,SOM,180.2,174.4,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,South Africa,ZAF,59.9,75.3,73.1,71.3,68.4,63.5,53.8,49.8,47.7,43.4,41.4,40.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,South Sudan,SSD,253.2,182.3,132.1,125.7,120,115.2,110.9,106.7,102.8,99.2,95.6,92.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Spain,ESP,11,6.5,5.5,5.2,5,4.8,4.6,4.5,4.4,4.3,4.2,4.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sri Lanka,LKA,21.2,16.3,13.2,12.5,11.8,11.3,10.9,10.6,10.4,10.2,10,9.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Kitts and Nevis,KNA,28.4,18.6,14.6,14,13.5,13,12.5,12.1,11.7,11.3,10.9,10.5
